Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
"create(address,uint256,,uint256)",,False
"TokenVesting(address,uint256,uint256,uint256,bool)","beneficiary, revocable, duration, cliff, start",False
release(),"released, released, beneficiary",False
revoke(),"revocable, revoked, revoked, owner",False
releasableAmount(),released,False
vestedAmount(),"released, cliff, start, duration, revoked, start, duration",False
"constructor(address,uint256,,uint256)","cumulativeRates, interval, owner",False
vestedAmount(),"start, released, start, interval, cumulativeRates, cumulativeRates",False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
