Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
totalSupply(),totalSupply_,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
constructor(),"maxSupply, founder, rate, bonus, bonus, allowedToBeSold, allowedToBeSold, maxSupply, softCap, rounds, maxSupply, allowedToBeSold, founder",False
"function()publiconlyWhileOpenisNotPausedpayable{require(_buyTokens(msg.sender,msg.value));}()",,True
"mintForInvestor(address,uint256)","rounds, rounds, maxSupply, totalSupply_, rounds, rounds, tokensBought, tokensBought, rate, investments, investments, _sold, _sold, _soldOutside, _soldOutside, _soldOutsidePMZ, _soldOutsidePMZ",False
setRate(uint256),"owner, rate",True
soldPerCurrentRound(),rounds,False
triggerICOState(bool),isPaused,False
setBonus(uint256),bonus,False
_getCurrentRound(uint256),"rounds, rounds",False
"setRoundParams(uint8,uint256,uint256,uint256,uint256,uint256)","rounds, rounds, rounds, rounds, rounds",False
withdraw(),"founder, founder",True
refund(),"investments, investments, investments",True
