Function Name,State Variables Modified,Can Transfer Ether
KnowsTime(),,False
currentTime(),,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"BntyExchangeRateCalculator(uint,uint,uint)","bntyMicrodollarPrice, fixUSDPriceTime, USDEtherPrice",False
setUSDEtherPrice(uint),"fixUSDPriceTime, USDEtherPrice",False
usdToWei(uint),"WEI_PER_ETH, USDEtherPrice",False
weiToBnty(uint),"USDEtherPrice, MICRODOLLARS_PER_DOLLAR, bntyMicrodollarPrice",False
Controlled(),controller,True
changeController(address),controller,False
proxyPayment(address),,False
"onTransfer(address,address,uint)",,False
"onApprove(address,address,uint)",,False
"receiveApproval(address,uint256,address,bytes)",,False
"MiniMeToken(address,address,uint,string,uint8,string,bool)","tokenFactory, name, decimals, symbol, parentToken, parentSnapShotBlock, transfersEnabled, creationBlock",True
"transfer(address,uint256)",transfersEnabled,True
"transferFrom(address,address,uint256)","controller, transfersEnabled",True
balanceOf(address),,False
"approve(address,uint256)","transfersEnabled, controller, controller",True
"allowance(address,address)",,False
"approveAndCall(address,uint256,bytes)",,True
totalSupply(),,False
"balanceOfAt(address,uint)","parentToken, parentToken, parentSnapShotBlock",False
totalSupplyAt(uint),"parentToken, parentToken, parentSnapShotBlock",False
"createCloneToken(string,uint8,string,uint,bool)",tokenFactory,True
"generateTokens(address,uint)",,False
"destroyTokens(address,uint)",,False
enableTransfers(bool),transfersEnabled,True
function()publicpayable{require(isContract(controller));require(TokenController(controller).proxyPayment.value(msg.value)(msg.sender));}(),"controller, controller",True
claimTokens(address),"controller, controller, controller",True
"createCloneToken(address,uint,string,uint8,string,bool)",,True
Bounty0xToken(address),,False
"generateTokensAll(,)",,False
KnowsConstants(),,False
balanceOf(address),,False
"Bounty0xPresaleDistributor(,)","bounty0xToken, deployedPresaleContract",False
compensatePreSaleInvestors(),"deployedPresaleContract, tokensPaid, bounty0xToken, tokensPaid, bounty0xToken",True
