Function Name,State Variables Modified,Can Transfer Ether
constructor(),"owner, devAddr, addresses, growingControl, growingControl",True
setAdvertAddr(address),advertAddr,False
setGrowingControlStartAt(uint),growingControl,False
getGrowingControlStartAt(),growingControl,False
setGrowingMaxPerDay(uint),"growingControl, growingControl, devAddr, growingControl",True
"getInvestorData(,,,)","addresses, investors, addresses, depositAmount, investors, lastPaymentDate",False
"function()payablepublic{if(isContract()){revert();}if(pause){doRestart();msg.sender.transfer(msg.value);return;}if(0==msg.value){payDividends();return;}require(msg.value>=MINIMUM_INVEST,""Too small amount, minimum 0.01 ether"");Investorstorageuser=investors[msg.sender];if(user.id==0){user.id=addresses.push(msg.sender);user.date=now;addressreferrer=bytesToAddress(msg.data);if(investors[referrer].deposit>0&&referrer!=msg.sender){user.referrer=referrer;}}else{payDividends();}uintinvestment=min(growingControl.getMaxInvestmentToday(),msg.value);require(investment>0,""Too much investments today"");user.deposit+=investment;user.deposits+=1;emitInvest(msg.sender,investment,user.referrer);depositAmount+=investment;lastPaymentDate=now;if(devAddr.send(investment/100*devFee)){}if(advertAddr.send(investment/100*advertFee)){}uintbonusAmount=investment/100*currentInterest;if(user.referrer>0x0){if(user.referrer.send(bonusAmount)){emitPayout(user.referrer,bonusAmount,""referral"",msg.sender);}if(user.deposits==1){if(msg.sender.send(bonusAmount)){emitPayout(msg.sender,bonusAmount,""cash-back"",0);}}}elseif(thunderstorm.addr>0x0&&thunderstorm.from+24hours>now){if(thunderstorm.addr.send(bonusAmount)){emitPayout(thunderstorm.addr,bonusAmount,""thunderstorm"",msg.sender);}}considerCurrentInterest();growingControl.addInvestment(investment);considerThunderstorm(investment);if(msg.value>investment){msg.sender.transfer(msg.value-investment);}}()","pause, MINIMUM_INVEST, investors, addresses, investors, growingControl, depositAmount, lastPaymentDate, devAddr, devFee, advertAddr, advertFee, currentInterest, thunderstorm, thunderstorm, thunderstorm, thunderstorm, growingControl",True
getTodayInvestment(),growingControl,False
getMaximumInvestmentPerDay(),growingControl,False
getInvestorCount(),addresses,False
getInvestorDividendsAmount(address),"investors, investors, currentInterest",False
"min(uint,uint)",,False
