Function Name,State Variables Modified,Can Transfer Ether
function()externalpayable{deposit();}(),,False
deposit(),balanceOf,True
withdraw(uint),"balanceOf, balanceOf",True
totalSupply(),,False
"approve(address,uint)",allowance,True
"transfer(address,uint)",,True
"transferFrom(address,address,uint)","balanceOf, allowance, allowance, allowance, balanceOf, balanceOf",True
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
constructor(uint256),GRACE_PERIOD_EXPIRATION,False
grantAccess(address),"GRACE_PERIOD_EXPIRATION, authorized",False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
constructor(uint256),,False
"transferTokens(address,address,address,uint256)",,True
"available(address,address)",,False
"constructor(address,uint256)",TOKEN_PROXY,False
"withdrawExcessToken(address,address)",totalBalances,True
"transferToVault(bytes32,address,address,uint256)","TOKEN_PROXY, balances, balances, totalBalances, totalBalances, totalBalances, balances",True
"transferFromVault(bytes32,address,address,uint256)","balances, balances, totalBalances, totalBalances, totalBalances, balances",True
"getCompoundedInterest(uint256,uint256,uint256)",,False
"receiveLoanOwnership(address,bytes32)",,False
"receivePositionOwnership(address,bytes32)",,False
"receiveClosePositionPayout(bytes32,uint256,address,address,address,uint256,uint256,bool)",,False
"closeLoanOnBehalfOf(address,address,bytes32,uint256)",,False
"closeOnBehalfOf(address,address,bytes32,uint256)",,False
"exchange(address,address,address,address,uint256,bytes)",,False
"getExchangeCost(address,address,uint256,bytes)",,False
"closePositionImpl(,bytes32,uint256,address,address,bool,bytes)",,True
"closeWithoutCounterpartyImpl(,bytes32,uint256,address)",,True
"depositCollateralOnBehalfOf(address,bytes32,uint256)",,False
"depositCollateralImpl(,bytes32,uint256)",,True
"forceRecoverCollateralOnBehalfOf(address,bytes32,address)",,False
"forceRecoverCollateralImpl(,bytes32,address)",,True
"verifyLoanOffering(,,,bytes32,bytes)",,False
"increaseLoanOnBehalfOf(address,bytes32,uint256,uint256)",,False
"increasePositionOnBehalfOf(address,bytes32,uint256)",,False
"increasePositionImpl(,bytes32,,,,bool,bytes,bytes)",,False
"increaseWithoutCounterpartyImpl(,bytes32,uint256)",,True
getLoanUnavailableAmount(bytes32),,False
getLoanFilledAmount(bytes32),,False
getLoanCanceledAmount(bytes32),,False
"cancelMarginCallOnBehalfOf(address,bytes32)",,False
"marginCallOnBehalfOf(address,bytes32,uint256)",,False
"marginCallImpl(,bytes32,uint256)",,True
"cancelMarginCallImpl(,bytes32)",,True
"cancelLoanOfferingImpl(,,,,uint256)",,True
constructor(),"operationState, OPERATION_STATE_OPERATIONAL",False
setOperationState(uint8),"OPERATION_STATE_INVALID, operationState, operationState, operationState",False
"openPositionImpl(,,,,bool,bytes,bytes)",,False
"openWithoutCounterpartyImpl(,,,)",,True
containsPosition(bytes32),,False
isPositionCalled(bytes32),,True
isPositionClosed(bytes32),,False
getTotalOwedTokenRepaidToLender(bytes32),,False
getPositionBalance(bytes32),,False
getTimeUntilInterestIncrease(bytes32),,False
getPositionOwedAmount(bytes32),,False
"getPositionOwedAmountAtTime(bytes32,uint256,uint32)",,False
"getLenderAmountForIncreasePositionAtTime(bytes32,uint256,uint32)",,False
getPosition(bytes32),,True
getPositionLender(bytes32),,False
getPositionOwner(bytes32),,False
getPositionHeldToken(bytes32),,False
getPositionOwedToken(bytes32),,False
getPositionPrincipal(bytes32),,False
getPositionInterestRate(bytes32),,False
getPositionRequiredDeposit(bytes32),,False
getPositionStartTimestamp(bytes32),,False
getPositionCallTimestamp(bytes32),,True
getPositionCallTimeLimit(bytes32),,True
getPositionMaxDuration(bytes32),,False
getPositioninterestPeriod(bytes32),,False
"transferLoanImpl(,bytes32,address)",,True
"transferPositionImpl(,bytes32,address)",,True
"constructor(address,address)",,False
"openPosition(,,,bool,bytes,bytes)",,False
"openWithoutCounterparty(,,)",,False
"increasePosition(bytes32,,,,bool,bytes,bytes)",,False
"increaseWithoutCounterparty(bytes32,uint256)",,False
"closePosition(bytes32,uint256,address,address,bool,bytes)",,False
"closePositionDirectly(bytes32,uint256,address)",,False
"closeWithoutCounterparty(bytes32,uint256,address)",,False
"marginCall(bytes32,uint256)",,False
cancelMarginCall(bytes32),,False
"forceRecoverCollateral(bytes32,address)",,False
"depositCollateral(bytes32,uint256)",,False
"cancelLoanOffering(,,,uint256)",,False
"transferLoan(bytes32,address)",,True
"transferPosition(bytes32,address)",,True
getVaultAddress(),,False
getTokenProxyAddress(),,False
constructor(address),DYDX_MARGIN,False
