Function Name,State Variables Modified,Can Transfer Ether
"tokenFallback(address,uint256,bytes)",,False
proposeNewOwner(address),"owner, ownerCandidate",False
acceptOwnerTransfer(),"ownerCandidate, owner, ownerCandidate, owner, ownerCandidate",True
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
halt(),halted,False
unhalt(),halted,False
startPresale(),"presaleStarted, presaleStarted",False
concludePresale(),"presaleStarted, presaleConcluded, presaleConcluded, crowdsaleTokenSupply, crowdsaleTokenSupply, presaleTokenSupply, presaleTokenSold",False
startCrowdsale(),"presaleConcluded, crowdsaleStarted, crowdsaleStarted, phase1StartBlock, phase1EndBlock, phase1StartBlock, phase2EndBlock, phase1EndBlock, phase3EndBlock, phase2EndBlock, phase4EndBlock, phase3EndBlock, phase5EndBlock, phase4EndBlock, endBlock, phase5EndBlock",False
concludeCrowdsale(),"crowdsaleStarted, crowdsaleConcluded, crowdsaleConcluded, endBlock, crowdsaleTokenSupply, crowdsaleTokenSold, totalSupply, totalSupply, teamLockUp, ICOReserveLockUp",False
withdrawTeamToken(),"teamWithdrawlCount, crowdsaleConcluded, teamWithdrawlCount, endBlock, teamLockUp, teamWithdrawlCount, endBlock, teamLockUp, endBlock, teamLockUp, teamWithdrawlCount, teamTokenSupply, owner, owner, owner",False
withdrawICOReserve(),"ICOReserveWithdrawn, crowdsaleConcluded, endBlock, ICOReserveLockUp, ICOReserveWithdrawn, owner, owner, ICOReserveSupply, owner, ICOReserveSupply",False
buyRecipient(address),"presaleTokenSold, presaleTokenSupply, presaleTokenSold, presaleTokenSold, crowdsaleTokenSold, crowdsaleTokenSupply, crowdsaleTokenSold, crowdsaleTokenSold, contributions, contributionHashes",True
acceptContribution(bytes32),"contributions, multisig",True
rejectContribution(bytes32),"contributions, presaleTokenSold, presaleTokenSold, crowdsaleTokenSold, crowdsaleTokenSold",True
burn(uint256),"totalSupply, totalSupply",True
setMultisig(address),multisig,False
setAverageBlockTime(uint256),averageBlockTime,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
tokenPrice(),"basePrice, basePrice, basePrice, basePrice, basePrice, basePrice, basePrice",False
phase(),"crowdsaleTokenSold, phase1Cap, phase1EndBlock, crowdsaleTokenSold, phase2Cap, phase2EndBlock, crowdsaleTokenSold, phase3Cap, phase3EndBlock, crowdsaleTokenSold, phase4Cap, phase4EndBlock, crowdsaleTokenSold, crowdsaleTokenSupply, phase5EndBlock",False
presaleOn(),"presaleStarted, presaleConcluded, presaleTokenSold, presaleTokenSupply",False
crowdsaleOn(),"crowdsaleStarted, endBlock, crowdsaleTokenSold, crowdsaleTokenSupply",False
dayToBlockNumber(uint256),averageBlockTime,False
getContributionFromHash(bytes32),contributions,False
getContributionHashes(),contributionHashes,False
