Function Name,State Variables Modified,Can Transfer Ether
transferOwnership(address),"owner, owner",False
heldOf(address),,False
balanceOf(address),,False
"transfer(address,uint256)","blockEndICO, owner",True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"approveAndCall(address,uint256,bytes)",,True
"receiveApproval(address,uint256,address,bytes)",,False
Bagholder(),"totalSupply, name, symbol",False
function()publicpayable{buy();}(),,False
deposit(),"tokenReward, totalSupply",True
withdrawReward(),tokenReward,True
withdraw(uint),,True
buy(),"totalSupply, blockEndICO, buyPrice, tokenUnit, BagholderAddr",True
burn(address),"totalSupply, totalSupply",False
