Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
initialCongress(address),congress,False
changeCongress(address),congress,False
Destructible(),,False
destroy(),owner,False
destroyAndSend(address),,False
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
initialSingleWithdrawMax(uint256),singleWithdrawMax,False
initialSingleWithdrawMin(uint256),singleWithdrawMin,False
initialDayWithdraw(uint256),dayWithdraw,False
initialDayWithdrawCount(uint256),dayWithdrawCount,False
initialMonthWithdraw(uint256),monthWithdraw,False
initialChargeFee(uint256),chargeFee,False
initialChargeFeePool(address),chargeFeePool,False
setSingleWithdrawMax(uint256),singleWithdrawMax,False
setSingleWithdrawMin(uint256),singleWithdrawMin,False
setDayWithdraw(uint256),dayWithdraw,False
setDayWithdrawCount(uint256),dayWithdrawCount,False
setMonthWithdraw(uint256),monthWithdraw,False
setChargeFee(uint256),chargeFee,False
setChargeFeePool(address),chargeFeePool,False
