Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
"Crowdsale(uint256,uint256,uint256,address)","token, startTime, endTime, rate, wallet",False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"weiRaised, weiRaised, token",True
hasEnded(),endTime,False
finalize(),"isFinalized, isFinalized",False
RefundVault(address),"wallet, state",False
deposit(address),"state, deposited, deposited",False
close(),"state, wallet",True
enableRefunds(),"state, state",False
refund(address),"state, deposited, deposited",True
RefundableCrowdsale(uint256),"vault, wallet, goal",False
claimRefund(),"isFinalized, vault",True
goalReached(),"weiRaised, goal",False
CappedCrowdsale(uint256),cap,False
hasEnded(),"weiRaised, cap",False
pause(),paused,False
unpause(),paused,False
changeAdmin(address),"admin, admin",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
unlock(),"unlockedAt, founderStorageVault",True
buyTokens(address),"publicAllocation, rate, investedAmountOf, investorCount, investedAmountOf, investedAmountOf, publicAllocation, publicAllocation, publicAllocation, weiRaised, weiRaised, token",True
getNow(),,False
"addtoWhitelist(address,uint256)",,False
revoke(),"refundingEndtime, isFinalized, vault",False
claimRefund(),"refundingEndtime, isFinalized, vault",True
changeStarttime(uint256),startTime,False
changeminContribAmount(uint256),minContribAmount,False
changeEndtime(uint256),endTime,False
changeRate(uint256),rate,False
changeGoal(uint256),goal,False
changeMaximumContribution(uint256),whitelistMaxContribAmount,False
