Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"mint(address,uint256)","totalSupply, totalSupply",False
finishMinting(),mintingFinished,False
NucleusVisionAirDrop(),,False
"batchAirDrop(address,,uint256)",,True
"revokeBalance(address,address)",,True
pause(),paused,False
unpause(),paused,False
NucleusVisionToken(),,False
"mint(address,uint256)","totalSupply, MAX_SUPPLY",False
unlockToken(),"unlocked, unlocked",False
"transfer(address,uint256)",unlocked,True
"transferFrom(address,address,uint256)",unlocked,True
"approve(address,uint256)",unlocked,False
"increaseApproval(address,uint)",unlocked,False
"decreaseApproval(address,uint)",unlocked,False
