Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
isPauser(address),_pausers,False
addPauser(address),,False
renouncePauser(),,True
paused(),_paused,False
pause(),_paused,True
unpause(),_paused,True
"mintCard(uint256,uint256,uint256,uint256,uint256,uint256,address)",,False
"setAttributes(uint256,uint256,uint256,uint256,uint256)",,False
"setName(uint256,uint256,uint256)",,False
"setAttributesAndName(uint256,uint256,uint256,uint256,uint256,uint256,uint256)",,False
generateCard(address),,False
"generateAttributes(address,uint256)",,False
generateName(address),,False
"constructor(address,address)","platform, partner",False
updatePartnerAddress(address),partner,False
updatePartnerRate(uint256),partnerRate,False
updatePlatformAddress(address),platform,False
withdraw(),platform,True
"constructor(address,address,,)","generator, creator",False
blindPack(),,True
blindPackTo(address),,True
buyBatch(uint256),,True
"buyBatchTo(address,uint256)",,True
setCardTypeDefault(uint256),cardTypeDefault,False
setAttributesBase(uint256),attributesBase,False
setFutballCardsGenerator(),generator,False
"updatePricePerCardAtIndex(uint256,uint256)",pricePerCard,False
updatePricePerCard(),pricePerCard,False
totalPrice(uint256),"pricePerCard, pricePerCard, pricePerCard, pricePerCard",False
