Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"transfer(address,uint256)",allowTransfer,True
"transferFrom(address,address,uint256)",allowTransfer,True
balanceOf(address),,False
"approve(address,uint256)",allowTransfer,True
"allowance(address,address)",,False
constructor(address),"totalSupply, name, name, decimals, decimals, symbol, symbol, mintableAddress, allowTransfer, creator",True
changeTransfer(bool),"mintableAddress, allowTransfer, allowTransfer",True
"mintToken(address,uint256)",mintableAddress,True
"approveAndCall(address,uint256,bytes)",,True
killAllXAITActivity(),"creator, allowTransfer",True
