Function Name,State Variables Modified,Can Transfer Ether
"transferFrom(address,address,uint256)",,False
"transfer(address,uint256)",,False
"constructor(address,uint256,uint256,uint256)","admin, traded_token, eth_seed_amount, traded_token_seed_amount, commission_ratio",False
withdraw_token(uint256),admin,True
withdraw_eth(uint256),admin,True
seed_traded_token(),"traded_token_is_seeded, traded_token_seed_amount",False
seed_eth(),"eth_is_seeded, eth_seed_amount",False
seed_additional_token(uint256),,False
seed_additional_eth(),,False
deactivate_trading(),"trading_deactivated, trading_deactivated",False
reactivate_trading(),"trading_deactivated, trading_deactivated",False
get_amount_sell(uint256),"traded_token_balance, eth_balance",False
get_amount_buy(uint256),"eth_balance, traded_token_balance",False
activate_admin_commission(),"admin_commission_activated, admin_commission_activated",False
deactivate_admin_comission(),"admin_commission_activated, admin_commission_activated",False
change_admin_commission(uint256),"commission_ratio, commission_ratio",False
sell_tokens(uint256),,False
function()publicpayable{buy_tokens();}(),,False
