Function Name,State Variables Modified,Can Transfer Ether
constructor(),_owner,True
owner(),_owner,False
isOwner(),_owner,True
transferOwnership(address),,True
constructor(),_owner,False
maximumProfitUser(),,False
getTotalNumberOfDeposits(),userSequentialDeposits,True
function()publicpayable{}(),,False
investETH(address),"launchtime, launchtime, lastInvest, lastWithdraw, userWithdrawals, pot, pot, dev, promoter1, promoter1, affiliateCommision, affiliateCommision, investedETH, investedETH, lastInvest, userSequentialDeposits, pot, maxpot, pot, lastPotWinner, pot",True
withdraw(),"launchtime, userWithdrawals, maxwithdraw, investedETH, lastInvest, lastWithdraw, userWithdrawals, userWithdrawals, investedETH, investedETH, userWithdrawals, userWithdrawals, investedETH, userSequentialDeposits, userWithdrawals, investedETH, investedETH",True
getProfitFromSender(),,True
getProfit(address),"lastInvest, investedETH, userWithdrawals, userWithdrawals",True
getBonus(),,False
reinvestProfit(),"lastInvest, userWithdrawals, investedETH, investedETH",True
getAffiliateCommision(),affiliateCommision,True
withdrawAffiliateCommision(),"affiliateCommision, affiliateCommision, affiliateCommision",True
getInvested(),investedETH,True
getBalance(),,False
updatePromoter1(address),promoter1,False
updatePromoter2(address),promoter2,False
updateMaxpot(uint256),maxpot,False
updateLaunchtime(uint256),launchtime,False
