Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
setControler(address),controller,False
OwnableToken(),owner,True
transferOwnership(address),"owner, owner",False
setMinter(address),minter,False
setBurner(address),burner,False
setControler(address),controller,False
isKYCApproved(address),KYCParticipants,False
approveKYC(address),KYCParticipants,False
VernamCrowdSaleToken(),"name, symbol, decimals, _totalSupply",False
"mintToken(address,uint256)","_totalSupply, KYCParticipants, balances, balances",False
"burn(address,uint256)","balances, balances, balances, _totalSupply, _totalSupply",False
totalSupply(),_totalSupply,False
circulatingSupply(),,False
balanceOf(address),balances,False
"constructor(address,address)","benecifiary, vernamCrowdsaleToken, isInCrowdsale",False
activateCrowdSale(),"threeHotHoursTokensCap, threeHotHoursCapInWei, threeHotHoursPriceOfTokenInWei, threeHotHoursTokensCap, isInCrowdsale, startTime, thirdStageEnd",False
"function()publicpayable{buyTokens(msg.sender,msg.value);}()",,True
"buyTokens(address,uint)","isInCrowdsale, totalSoldTokens, TOKENS_HARD_CAP, isInCrowdsale, benecifiary, contributedInWei, contributedInWei, threeHotHoursEnd, threeHotHoursTokens, threeHotHoursTokens, isCalculated, vernamCrowdsaleToken, vernamCrowdsaleToken, totalSoldTokens, totalSoldTokens, totalContributedWei, totalContributedWei",True
release(),,True
releaseThreeHotHourTokens(address),"isCalculated, isCalculated, threeHotHoursTokens, threeHotHoursTokens, vernamCrowdsaleToken",False
getContributedAmountInWei(address),contributedInWei,False
"getPrice(uint256,uint256)","threeHotHoursEnd, totalSoldTokens, threeHotHoursTokensCap, threeHotHoursPriceOfTokenInWei, firstStageEnd, firstStagePriceOfTokenInWei, secondStageEnd, secondStagePriceOfTokenInWei, thirdStageEnd, thirdStageDiscountPriceOfTokenInWei, thirdStageEnd, thirdStagePriceOfTokenInWei",False
setBenecifiary(address),benecifiary,False
constructor(),owner,True
setKYCTeam(address),KYCTeam,False
transferOwnership(address),"owner, owner",False
"Controller(address,address)","vernamCrowdSale, vernamCrowdsaleToken",False
releaseThreeHotHourTokens(),vernamCrowdSale,True
convertYourTokens(),,True
convertTokens(address),"vernamCrowdsaleToken, isParticipantApproved, vernamCrowdsaleToken, vernamCrowdsaleToken, vernamCrowdsaleToken, vernamCrowdsaleToken, vernamToken",True
approveKYC(address),"vernamCrowdsaleToken, isParticipantApproved, vernamCrowdsaleToken, isParticipantApproved",False
setVernamOriginalToken(address),vernamToken,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
VernamToken(uint256),"name, symbol, decimals, _totalSupply, balances",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"increaseApproval(address,uint256)","allowed, balances, allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
"approve(address,uint256)","balances, allowed",True
totalSupply(),_totalSupply,False
balanceOf(address),balances,False
"allowance(address,address)",allowed,False
