Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,uint256)",,False
"approve(address,uint256)",,False
MOEToken(),"owner, totalSupply",True
stop(),stopped,False
start(),stopped,False
"lockTime(address,uint256)",lockAddress,False
lockOf(address),lockAddress,False
transferOwnership(address),owner,False
"function()publicpayable{addressmyAddress=this;emitTransfer(msg.sender,myAddress,msg.value);}()",,True
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
withdraw(),owner,True
kill(),,True
setName(string),name,False
