Function Name,State Variables Modified,Can Transfer Ether
isPricingStrategy(),,False
isSane(address),,False
"calculatePrice(uint,uint,uint,address,uint)",,False
halt(),halted,False
unhalt(),halted,False
isFinalizeAgent(),,False
isSane(),,False
"investWithCustomerId(address,uint128)",requiredSignedAddress,False
invest(address),"requireCustomerId, requiredSignedAddress",False
buyWithCustomerId(uint128),,True
buy(),,True
finalize(),"finalized, finalizeAgent, finalizeAgent, finalized",False
loadRefund(),"loadedRefund, loadedRefund",False
refund(),"investedAmountOf, investedAmountOf, weiRefunded, weiRefunded",True
isMinimumGoalReached(),"weiRaised, minimumFundingGoal",False
isFinalizerSane(),finalizeAgent,False
isPricingSane(),pricingStrategy,False
getState(),"finalized, finalizeAgent, finalizeAgent, pricingStrategy, startsAt, endsAt, weiRaised, loadedRefund, weiRaised",False
isCrowdsale(),,False
isCrowdsaleFull(),,False
getEthChfPrice(),"chfRate, chfScale",False
convertToWei(uint),chfRate,False
getSoftCapInWeis(),softCapCHF,False
"calculatePrice(uint,uint,uint,address,uint)","decimals, weiRaised, hardCapPrice, softCapPrice",False
