Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
"receiveApproval(address,uint256,address,bytes)",,False
"approveAndCall(address,uint,bytes)",,False
"signedTransferHash(address,address,uint,uint,uint)",,False
"signedTransferCheck(address,address,uint,uint,uint,bytes,address)",,False
"signedTransfer(address,address,uint,uint,uint,bytes,address)",,False
"signedApproveHash(address,address,uint,uint,uint)",,False
"signedApproveCheck(address,address,uint,uint,uint,bytes,address)",,False
"signedApprove(address,address,uint,uint,uint,bytes,address)",,False
"signedTransferFromHash(address,address,address,uint,uint,uint)",,False
"signedTransferFromCheck(address,address,address,uint,uint,uint,bytes,address)",,False
"signedTransferFrom(address,address,address,uint,uint,uint,bytes,address)",,False
"signedApproveAndCallHash(address,address,uint,bytes,uint,uint)",,False
"signedApproveAndCallCheck(address,address,uint,bytes,uint,uint,bytes,address)",,False
"signedApproveAndCall(address,address,uint,bytes,uint,uint,bytes,address)",,False
"mint(address,uint,bool)",,False
unlockAccount(address),,False
disableMinting(),,False
enableTransfers(),,False
"init(,address,string,string,uint8,uint,bool,bool)",,True
"transferOwnership(,address)",,True
acceptOwnership(),,True
"transferOwnershipImmediately(,address)",,True
"setMinter(,address)",,True
"mint(,address,uint,bool)",,True
"unlockAccount(,address)",,True
disableMinting(),,True
enableTransfers(),,True
"transferAnyERC20Token(,address,uint)",,True
"ecrecoverFromSig(bytes32,bytes)",,False
"getCheckResultMessage(,)",,True
"transfer(,address,uint)",,True
"approve(,address,uint)",,True
"transferFrom(,address,address,uint)",,True
"approveAndCall(,address,uint,bytes)",,True
"signedTransferHash(,address,address,uint,uint,uint)",signedTransferSig,False
"signedTransferCheck(,address,address,uint,uint,uint,bytes,address)",signingPrefix,True
"signedTransfer(,address,address,uint,uint,uint,bytes,address)",signingPrefix,True
"signedApproveHash(,address,address,uint,uint,uint)",signedApproveSig,False
"signedApproveCheck(,address,address,uint,uint,uint,bytes,address)",signingPrefix,True
"signedApprove(,address,address,uint,uint,uint,bytes,address)",signingPrefix,True
"signedTransferFromHash(,address,address,address,uint,uint,uint)",signedTransferFromSig,False
"signedTransferFromCheck(,address,address,address,uint,uint,uint,bytes,address)",signingPrefix,True
"signedTransferFrom(,address,address,address,uint,uint,uint,bytes,address)",signingPrefix,True
"signedApproveAndCallHash(,address,address,uint,bytes,uint,uint)",signedApproveAndCallSig,False
"signedApproveAndCallCheck(,address,address,uint,bytes,uint,uint,bytes,address)",signingPrefix,True
"signedApproveAndCall(,address,address,uint,bytes,uint,uint,bytes,address)",signingPrefix,True
"BTTSToken(address,string,string,uint8,uint,bool,bool)",,True
owner(),,False
newOwner(),,False
transferOwnership(address),,True
acceptOwnership(),,False
transferOwnershipImmediately(address),,True
symbol(),,False
name(),,False
decimals(),,False
minter(),,False
setMinter(address),,False
"mint(address,uint,bool)",,False
accountLocked(address),,False
unlockAccount(address),,False
mintable(),,False
transferable(),,True
disableMinting(),,False
enableTransfers(),,False
nextNonce(address),,False
"transferAnyERC20Token(address,uint)",,True
function()publicpayable{revert();}(),,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,True
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,True
"approveAndCall(address,uint,bytes)",,False
"signedTransferHash(address,address,uint,uint,uint)",,False
"signedTransferCheck(address,address,uint,uint,uint,bytes,address)",,False
"signedTransfer(address,address,uint,uint,uint,bytes,address)",,False
"signedApproveHash(address,address,uint,uint,uint)",,False
"signedApproveCheck(address,address,uint,uint,uint,bytes,address)",,False
"signedApprove(address,address,uint,uint,uint,bytes,address)",,False
"signedTransferFromHash(address,address,address,uint,uint,uint)",,False
"signedTransferFromCheck(address,address,address,uint,uint,uint,bytes,address)",,False
"signedTransferFrom(address,address,address,uint,uint,uint,bytes,address)",,False
"signedApproveAndCallHash(address,address,uint,bytes,uint,uint)",,False
"signedApproveAndCallCheck(address,address,uint,bytes,uint,uint,bytes,address)",,False
"signedApproveAndCall(address,address,uint,bytes,uint,uint,bytes,address)",,False
