Function Name,State Variables Modified,Can Transfer Ether
constructor(address),owner,False
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
"receiveApproval(address,uint256,address,bytes)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
symbol(),,False
name(),,False
decimals(),,False
"approveAndCall(address,uint,bytes)",,False
"constructor(address,string,string,uint8,uint)",,False
symbol(),,False
name(),,False
decimals(),,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint)",,True
"approve(address,uint)",,True
"transferFrom(address,address,uint)",,True
"allowance(address,address)",,False
"approveAndCall(address,uint,bytes)",,True
"recoverTokens(address,uint)","owner, owner",True
function()externalpayable{revert();}(),,False
constructor(),,True
numberOfChildren(),children,False
deprecateFactory(address),"newAddress, newAddress",False
setMinimumFee(uint),"minimumFee, minimumFee",False
"deployTokenContract(string,string,uint8,uint)","minimumFee, owner",True
"recoverTokens(address,uint)","owner, owner",True
function()externalpayable{revert();}(),,False
